entity_id,layer,local_type,normalized_type,code,name,description,domain_code,subject_code,grade_code,axis_code,origin,provenance_class,verification_status,source_id,secondary_source_ids,properties_json
domain_science,L2,Dominio STEAM,steam_domain,SCI,Ciencia,Prácticas para construir explicaciones y conocimiento sobre el mundo natural.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
domain_engineering,L2,Dominio STEAM,steam_domain,ENG,Ingeniería,"Prácticas para definir problemas, diseñar, probar y mejorar soluciones.",ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
domain_math,L2,Dominio STEAM,steam_domain,MAT,Matemática,"Prácticas matemáticas para resolver, modelar, representar y justificar.",MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
domain_computing,L2,Dominio STEAM,steam_domain,TEC,Tecnología y Computación,"Prácticas de computación, pensamiento computacional y diseño humano.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
domain_arts_design,L2,Dominio STEAM,steam_domain,ART,Artes y Diseño,"Procesos para crear, presentar, responder y conectar mediante prácticas artísticas/de diseño.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_sci_observation,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-OBS,Observación científica,"Observar de manera intencional, describir, comparar y registrar rasgos relevantes para producir evidencia.",SCI,,,,erandi,expert_synthesis,expert_curated,src_mineduc_cn03,,{}
prac_sci_questioning,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-Q,Formulación de preguntas científicas,Plantear y refinar preguntas sobre fenómenos que orienten la indagación y la construcción de explicaciones.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_prediction,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-PRED,Predicción e inferencia,"Anticipar resultados o relaciones a partir de conocimiento previo, patrones o modelos, distinguiendo predicción de observación.",SCI,,,,erandi,expert_synthesis,expert_curated,src_mineduc_cn03,,{}
prac_sci_modeling,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-MOD,Desarrollo y uso de modelos,"Construir, usar, comparar y revisar representaciones para describir, explicar o predecir fenómenos.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_investigation,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-INV,Planificación y realización de investigaciones,Planificar y realizar observaciones o pruebas sistemáticas para generar evidencia pertinente.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_data,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-DATA,Análisis e interpretación de datos,"Organizar, representar, comparar e interpretar datos para identificar patrones y responder preguntas.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_mathcomp,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-MC,Uso de matemática y pensamiento computacional en ciencia,"Usar cuantificación, representaciones matemáticas o herramientas computacionales para analizar fenómenos y evidencia.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_explanation,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-EXP,Construcción de explicaciones,Construir explicaciones que articulen ideas científicas con evidencia pertinente.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_argument,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-ARG,Argumentación a partir de evidencia,"Evaluar y defender afirmaciones considerando evidencia, razones y explicaciones alternativas.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_communication,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-COM,"Obtención, evaluación y comunicación de información científica","Interpretar y comunicar información, ideas y evidencia científica mediante representaciones apropiadas.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_systems,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-SYS,Pensamiento de sistemas,"Razonar sobre componentes, relaciones, límites, retroalimentaciones y efectos dentro de un sistema.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,,{}
prac_eng_define,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-DEF,Definir problemas de diseño,Precisar una necesidad o problema que pueda abordarse mediante diseño.,ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_eng_criteria,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-CC,Establecer criterios y restricciones,Hacer explícito qué debe lograr una solución y qué límites debe respetar.,ENG,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,,{}
prac_eng_ideate,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-IDEA,Generar alternativas de solución,Producir y comparar múltiples ideas posibles antes de seleccionar una dirección.,ENG,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,,{}
prac_eng_modelproto,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-PROT,Modelar y prototipar soluciones,"Representar o construir versiones parciales de una solución para razonar, comunicar y probar.",ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_eng_test,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-TEST,Probar y evaluar soluciones,Recolectar evidencia sobre el desempeño de una solución frente a criterios y restricciones.,ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_eng_iterate,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-ITER,Iterar y optimizar,Modificar una solución usando resultados de pruebas y nueva evidencia.,ENG,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,,{}
prac_eng_tradeoffs,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-TRADE,Razonar sobre compromisos y trade-offs,"Comparar ventajas, limitaciones y tensiones entre criterios para justificar decisiones de diseño.",ENG,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,,{}
prac_eng_argument,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-ARG,Argumentar decisiones de diseño,"Defender decisiones y soluciones utilizando criterios, datos y evidencia de pruebas.",ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_eng_communicate,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-COM,Comunicar el diseño,"Representar y explicar problema, proceso, decisiones, evidencia y solución a otras personas.",ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_eng_systems,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-SYS,Pensamiento sistémico en diseño,"Considerar cómo una solución interactúa con personas, materiales, ambiente y otros componentes del sistema.",ENG,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,,{}
prac_math_make_sense,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-1,Dar sentido a problemas y perseverar,"Comprender la situación, planificar una estrategia, monitorear y sostener el esfuerzo.",MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_math_reason_abstract,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-2,Razonar de manera abstracta y cuantitativa,Moverse entre cantidades contextualizadas y representaciones abstractas.,MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_math_argument,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-3,Construir argumentos y criticar razonamientos,Justificar conclusiones y analizar razonamientos de otras personas.,MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_math_model,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-4,Modelar con matemática,"Usar matemática para representar, analizar y tomar decisiones sobre situaciones reales.",MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_math_tools,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-5,Usar herramientas estratégicamente,"Seleccionar y usar instrumentos, representaciones o tecnologías de manera pertinente.",MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_math_precision,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-6,Atender a la precisión,"Usar unidades, lenguaje, cálculos y representaciones con precisión suficiente al propósito.",MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_math_structure,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-7,Buscar y usar estructura,"Identificar organización, relaciones y estructuras que simplifican o explican.",MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_math_regularity,L2,Práctica disciplinar STEAM,disciplinary_practice,MAT-8,Buscar regularidad en razonamientos repetidos,Detectar patrones en procesos repetidos y usarlos para generalizar o anticipar.,MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
prac_cs_positive_impact,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-1,Usar la computación para un impacto social positivo,Considerar cómo la computación puede contribuir responsablemente a personas y comunidades.,TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_rights_dignity,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-2,"Respetar derechos, privacidad y dignidad","Crear productos computacionales respetando propiedad, privacidad, seguridad y dignidad.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_communicate,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-3,Comunicar eficazmente sobre computación,"Explicar procesos, decisiones, resultados y limitaciones de soluciones computacionales.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_manage,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-4,Gestionar proyectos computacionales,"Planificar, organizar recursos y monitorear el avance de un proyecto computacional.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_collaborate,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-5,Participar responsablemente en colaboraciones computacionales,"Contribuir de forma inclusiva, responsable y coordinada al trabajo colectivo.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_define_problem,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-6,Reconocer y definir problemas computacionales,Identificar problemas o partes de problemas que pueden representarse o abordarse computacionalmente.,TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_abstraction,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-7,Desarrollar y usar abstracciones,Representar información o procesos omitiendo detalles innecesarios para resolver un propósito.,TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_create,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-8,Crear productos computacionales,"Diseñar y construir artefactos, representaciones o sistemas computacionales.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_test_refine,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-9,Probar y refinar productos computacionales,"Evaluar resultados, encontrar problemas y mejorar productos mediante iteración.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_users,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-10,Comprender e involucrar a usuarios diversos,Investigar necesidades y perspectivas de usuarios para orientar decisiones de diseño.,TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_iterative_design,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-11,Aplicar procesos iterativos de diseño,"Generar, probar y revisar soluciones en ciclos basados en evidencia y retroalimentación.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_cs_empower,L2,Práctica disciplinar STEAM,disciplinary_practice,TEC-12,Crear tecnologías que empoderen e informen,"Diseñar tecnologías que amplíen agencia, acceso, comprensión o participación.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
prac_art_generate,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-1,Generar y conceptualizar ideas artísticas,"Generar ideas, preguntas y posibilidades para crear trabajo artístico o de diseño.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_develop,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-2,Organizar y desarrollar ideas y trabajo,"Explorar materiales, decisiones y composiciones para desarrollar una creación.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_refine,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-3,Refinar y completar trabajo,"Revisar y mejorar una creación usando intención, criterios y retroalimentación.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_select_present,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-4,Seleccionar trabajo para presentar,"Elegir qué y cómo presentar según intención, audiencia y contexto.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_prepare_present,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-5,Desarrollar y refinar para presentación,"Preparar, ajustar y cuidar decisiones técnicas/expresivas para compartir una obra.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_convey,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-6,Transmitir significado mediante la presentación,Usar decisiones visuales/artísticas para comunicar ideas o significados.,ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_perceive,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-7,Percibir y analizar trabajo artístico,"Observar con atención y analizar elementos, relaciones y características.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_interpret,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-8,Interpretar intención y significado,"Construir interpretaciones fundamentadas de obras, diseños o representaciones.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_evaluate,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-9,Aplicar criterios para evaluar,Usar criterios explícitos para valorar y retroalimentar trabajo artístico/de diseño.,ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_connect_personal,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-10,Conectar conocimiento y experiencias personales,"Relacionar creación artística con experiencias, conocimientos e intereses.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_art_connect_context,L2,Práctica disciplinar STEAM,disciplinary_practice,ART-11,"Conectar arte con contextos sociales, culturales e históricos","Comprender y crear considerando contextos culturales, comunitarios e históricos.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
comp_creativity,L2,Competencia transversal,cross_cutting_competency,,Creatividad,"Generar, explorar, combinar y refinar ideas o representaciones novedosas y pertinentes.",X,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_ccss_math;src_csta_2026;src_ncas,{}
comp_critical_thinking,L2,Competencia transversal,cross_cutting_competency,,Pensamiento crítico,"Analizar información, relaciones, supuestos, evidencia y alternativas para formar juicios razonados.",X,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_ccss_math;src_csta_2026;src_ncas,{}
comp_problem_solving,L2,Competencia transversal,cross_cutting_competency,,Resolución de problemas,"Comprender una situación desafiante, desarrollar estrategias, probarlas y ajustarlas.",X,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_ccss_math;src_csta_2026;src_ncas,{}
comp_communication,L2,Competencia transversal,cross_cutting_competency,,Comunicación,"Expresar, representar, escuchar e interpretar ideas y evidencia para una audiencia y propósito.",X,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_ccss_math;src_csta_2026;src_ncas,{}
comp_collaboration,L2,Competencia transversal,cross_cutting_competency,,Colaboración,"Construir conocimiento o soluciones con otras personas mediante contribución, coordinación y responsabilidad compartida.",X,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_ccss_math;src_csta_2026;src_ncas,{}
prog_prac_sci_observation_L1,L2,Nivel de progresión,practice_progression_level,SCI-OBS-L1,Notar,Identifica rasgos o eventos relevantes con apoyo y los distingue de información no observable.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_observation"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_observation_L2,L2,Nivel de progresión,practice_progression_level,SCI-OBS-L2,Describir y comparar,Describe observaciones con mayor especificidad y compara semejanzas/diferencias usando criterios simples.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_observation"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_observation_L3,L2,Nivel de progresión,practice_progression_level,SCI-OBS-L3,Registrar,"Registra observaciones mediante dibujos, tablas, medidas u otras representaciones apropiadas al propósito.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_observation"",""level_order"":3,""official_progression"":false}"
prog_prac_sci_observation_L4,L2,Nivel de progresión,practice_progression_level,SCI-OBS-L4,Usar como evidencia,Usa patrones de observación registrados para apoyar o revisar una explicación.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_observation"",""level_order"":4,""official_progression"":false}"
prog_prac_sci_questioning_L1,L2,Nivel de progresión,practice_progression_level,SCI-Q-L1,Preguntar desde la curiosidad,Formula preguntas sobre un fenómeno a partir de lo que observa o ya sabe.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_questioning"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_questioning_L2,L2,Nivel de progresión,practice_progression_level,SCI-Q-L2,Distinguir preguntas investigables,"Reconoce cuáles preguntas podrían abordarse mediante observación, datos o pruebas.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_questioning"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_questioning_L3,L2,Nivel de progresión,practice_progression_level,SCI-Q-L3,Refinar,Ajusta una pregunta para precisar qué se quiere saber y qué evidencia sería útil.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_questioning"",""level_order"":3,""official_progression"":false}"
prog_prac_sci_questioning_L4,L2,Nivel de progresión,practice_progression_level,SCI-Q-L4,Conectar pregunta y evidencia,Relaciona explícitamente la pregunta con el diseño de recolección de evidencia.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_questioning"",""level_order"":4,""official_progression"":false}"
prog_prac_sci_prediction_L1,L2,Nivel de progresión,practice_progression_level,SCI-PRED-L1,Anticipar,Expresa qué cree que ocurrirá antes de observar o probar.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_prediction"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_prediction_L2,L2,Nivel de progresión,practice_progression_level,SCI-PRED-L2,Justificar,"Da una razón simple basada en experiencia, patrón o conocimiento previo.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_prediction"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_prediction_L3,L2,Nivel de progresión,practice_progression_level,SCI-PRED-L3,Usar un modelo,Hace predicciones a partir de relaciones representadas en un modelo.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_prediction"",""level_order"":3,""official_progression"":false}"
prog_prac_sci_prediction_L4,L2,Nivel de progresión,practice_progression_level,SCI-PRED-L4,Revisar frente a evidencia,"Compara predicción y resultado, explicando qué cambió en su pensamiento.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_mineduc_cn03,src_daniela_map,"{""practice_id"":""prac_sci_prediction"",""level_order"":4,""official_progression"":false}"
prog_prac_sci_modeling_L1,L2,Nivel de progresión,practice_progression_level,SCI-MOD-L1,Representar componentes,Incluye elementos relevantes del fenómeno en una representación.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_modeling"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_modeling_L2,L2,Nivel de progresión,practice_progression_level,SCI-MOD-L2,Representar relaciones,"Muestra cómo se relacionan componentes, usando flechas, posiciones, secuencias u otras convenciones.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_modeling"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_modeling_L3,L2,Nivel de progresión,practice_progression_level,SCI-MOD-L3,Explicar o predecir,Usa el modelo para explicar un fenómeno o anticipar un cambio.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_modeling"",""level_order"":3,""official_progression"":false}"
prog_prac_sci_modeling_L4,L2,Nivel de progresión,practice_progression_level,SCI-MOD-L4,Revisar con evidencia,"Compara el modelo con nueva evidencia, identifica limitaciones y lo modifica.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_modeling"",""level_order"":4,""official_progression"":false}"
prog_prac_sci_investigation_L1,L2,Nivel de progresión,practice_progression_level,SCI-INV-L1,Participar en una indagación guiada,Sigue una secuencia con propósito claro y contribuye a observar o recolectar evidencia.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_investigation"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_investigation_L2,L2,Nivel de progresión,practice_progression_level,SCI-INV-L2,Relacionar pregunta y procedimiento,Comprende cómo las acciones de la investigación ayudan a responder la pregunta.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_investigation"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_investigation_L3,L2,Nivel de progresión,practice_progression_level,SCI-INV-L3,Tomar decisiones simples de diseño,"Participa en decisiones sobre qué comparar, medir, registrar o mantener consistente.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_investigation"",""level_order"":3,""official_progression"":false}"
prog_prac_sci_investigation_L4,L2,Nivel de progresión,practice_progression_level,SCI-INV-L4,Evaluar la investigación,Identifica limitaciones de la evidencia y propone mejoras al procedimiento.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_investigation"",""level_order"":4,""official_progression"":false}"
prog_prac_sci_data_L1,L2,Nivel de progresión,practice_progression_level,SCI-DATA-L1,Organizar,Agrupa o registra datos de forma que puedan revisarse.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_data"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_data_L2,L2,Nivel de progresión,practice_progression_level,SCI-DATA-L2,Representar y comparar,"Usa tablas, gráficos o categorías simples para comparar resultados.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_data"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_data_L3,L2,Nivel de progresión,practice_progression_level,SCI-DATA-L3,Identificar patrones,"Describe regularidades, diferencias o relaciones presentes en los datos.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_data"",""level_order"":3,""official_progression"":false}"
prog_prac_sci_data_L4,L2,Nivel de progresión,practice_progression_level,SCI-DATA-L4,Interpretar para responder,Usa los patrones como evidencia para responder una pregunta o evaluar una explicación.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_data"",""level_order"":4,""official_progression"":false}"
prog_prac_sci_mathcomp_L1,L2,Nivel de progresión,practice_progression_level,SCI-MC-L1,Participar con apoyo,"Participa en la práctica «Uso de matemática y pensamiento computacional en ciencia» con apoyos explícitos, ejemplos o una estructura provista.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_mathcomp"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_mathcomp_L2,L2,Nivel de progresión,practice_progression_level,SCI-MC-L2,Aplicar con propósito,"Aplica «Uso de matemática y pensamiento computacional en ciencia» en una situación conocida, explicando decisiones básicas y usando representaciones/herramientas pertinentes.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_mathcomp"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_mathcomp_L3,L2,Nivel de progresión,practice_progression_level,SCI-MC-L3,"Seleccionar, justificar y revisar","Usa «Uso de matemática y pensamiento computacional en ciencia» con mayor autonomía; selecciona estrategias, justifica decisiones y revisa su trabajo frente a criterios, evidencia o retroalimentación.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_mathcomp"",""level_order"":3,""official_progression"":false}"
prog_prac_sci_explanation_L1,L2,Nivel de progresión,practice_progression_level,SCI-EXP-L1,Describir lo ocurrido,Expresa qué ocurrió o qué relación observa.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_explanation"",""level_order"":1,""official_progression"":false}"
prog_prac_sci_explanation_L2,L2,Nivel de progresión,practice_progression_level,SCI-EXP-L2,Conectar idea y evidencia,Relaciona una idea explicativa simple con observaciones o datos relevantes.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_explanation"",""level_order"":2,""official_progression"":false}"
prog_prac_sci_explanation_L3,L2,Nivel de progresión,practice_progression_level,SCI-EXP-L3,Explicar causalmente,Articula cómo o por qué componentes/relaciones producen el fenómeno.,SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,src_daniela_map,"{""practice_id"":""prac_sci_explanation"",""level_order"":3,""official_progression"":false}"
